id,name,link,abbreviation,teamName,locationName,firstYearOfPlay,shortName,officialSiteUrl,franchiseId,active,venue.name,venue.link,venue.city,venue.timeZone,division.id,division.name,division.nameShort,division.link,division.abbreviation,conference.id,conference.name,conference.link,franchise.franchiseId,franchise.teamName,franchise.link,venue.id
1,New Jersey Devils,/api/v1/teams/1,NJD,Devils,New Jersey,1982,New Jersey,http://www.newjerseydevils.com/,23,True,Prudential Center,/api/v1/venues/null,Newark,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,23,Devils,/api/v1/franchises/23,
2,New York Islanders,/api/v1/teams/2,NYI,Islanders,New York,1972,NY Islanders,http://www.newyorkislanders.com/,22,True,UBS Arena,/api/v1/venues/null,Elmont,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,22,Islanders,/api/v1/franchises/22,
3,New York Rangers,/api/v1/teams/3,NYR,Rangers,New York,1926,NY Rangers,http://www.newyorkrangers.com/,10,True,Madison Square Garden,/api/v1/venues/5054,New York,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,10,Rangers,/api/v1/franchises/10,5054.0
4,Philadelphia Flyers,/api/v1/teams/4,PHI,Flyers,Philadelphia,1967,Philadelphia,http://www.philadelphiaflyers.com/,16,True,Wells Fargo Center,/api/v1/venues/5096,Philadelphia,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,16,Flyers,/api/v1/franchises/16,5096.0
5,Pittsburgh Penguins,/api/v1/teams/5,PIT,Penguins,Pittsburgh,1967,Pittsburgh,http://pittsburghpenguins.com/,17,True,PPG Paints Arena,/api/v1/venues/5034,Pittsburgh,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,17,Penguins,/api/v1/franchises/17,5034.0
6,Boston Bruins,/api/v1/teams/6,BOS,Bruins,Boston,1924,Boston,http://www.bostonbruins.com/,6,True,TD Garden,/api/v1/venues/5085,Boston,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,6,Bruins,/api/v1/franchises/6,5085.0
7,Buffalo Sabres,/api/v1/teams/7,BUF,Sabres,Buffalo,1970,Buffalo,http://www.sabres.com/,19,True,KeyBank Center,/api/v1/venues/5039,Buffalo,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,19,Sabres,/api/v1/franchises/19,5039.0
8,Montréal Canadiens,/api/v1/teams/8,MTL,Canadiens,Montréal,1909,Montréal,http://www.canadiens.com/,1,True,Bell Centre,/api/v1/venues/5028,Montréal,"{'id': 'America/Montreal', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,1,Canadiens,/api/v1/franchises/1,5028.0
9,Ottawa Senators,/api/v1/teams/9,OTT,Senators,Ottawa,1990,Ottawa,http://www.ottawasenators.com/,30,True,Canadian Tire Centre,/api/v1/venues/5031,Ottawa,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,30,Senators,/api/v1/franchises/30,5031.0
10,Toronto Maple Leafs,/api/v1/teams/10,TOR,Maple Leafs,Toronto,1917,Toronto,http://www.mapleleafs.com/,5,True,Scotiabank Arena,/api/v1/venues/null,Toronto,"{'id': 'America/Toronto', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,5,Maple Leafs,/api/v1/franchises/5,
12,Carolina Hurricanes,/api/v1/teams/12,CAR,Hurricanes,Carolina,1979,Carolina,http://www.carolinahurricanes.com/,26,True,PNC Arena,/api/v1/venues/5066,Raleigh,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,26,Hurricanes,/api/v1/franchises/26,5066.0
13,Florida Panthers,/api/v1/teams/13,FLA,Panthers,Florida,1993,Florida,http://www.floridapanthers.com/,33,True,Amerant Bank Arena,/api/v1/venues/null,Sunrise,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,33,Panthers,/api/v1/franchises/33,
14,Tampa Bay Lightning,/api/v1/teams/14,TBL,Lightning,Tampa Bay,1991,Tampa Bay,http://www.tampabaylightning.com/,31,True,AMALIE Arena,/api/v1/venues/null,Tampa,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,31,Lightning,/api/v1/franchises/31,
15,Washington Capitals,/api/v1/teams/15,WSH,Capitals,Washington,1974,Washington,http://www.washingtoncapitals.com/,24,True,Capital One Arena,/api/v1/venues/5094,Washington,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,24,Capitals,/api/v1/franchises/24,5094.0
16,Chicago Blackhawks,/api/v1/teams/16,CHI,Blackhawks,Chicago,1926,Chicago,http://www.chicagoblackhawks.com/,11,True,United Center,/api/v1/venues/5092,Chicago,"{'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,11,Blackhawks,/api/v1/franchises/11,5092.0
17,Detroit Red Wings,/api/v1/teams/17,DET,Red Wings,Detroit,1926,Detroit,http://www.detroitredwings.com/,12,True,Little Caesars Arena,/api/v1/venues/5145,Detroit,"{'id': 'America/Detroit', 'offset': -4, 'tz': 'EDT'}",17,Atlantic,ATL,/api/v1/divisions/17,A,6,Eastern,/api/v1/conferences/6,12,Red Wings,/api/v1/franchises/12,5145.0
18,Nashville Predators,/api/v1/teams/18,NSH,Predators,Nashville,1997,Nashville,http://www.nashvillepredators.com/,34,True,Bridgestone Arena,/api/v1/venues/5030,Nashville,"{'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,34,Predators,/api/v1/franchises/34,5030.0
19,St. Louis Blues,/api/v1/teams/19,STL,Blues,St. Louis,1967,St Louis,http://www.stlouisblues.com/,18,True,Enterprise Center,/api/v1/venues/5076,St. Louis,"{'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,18,Blues,/api/v1/franchises/18,5076.0
20,Calgary Flames,/api/v1/teams/20,CGY,Flames,Calgary,1980,Calgary,http://www.calgaryflames.com/,21,True,Scotiabank Saddledome,/api/v1/venues/5075,Calgary,"{'id': 'America/Denver', 'offset': -6, 'tz': 'MDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,21,Flames,/api/v1/franchises/21,5075.0
21,Colorado Avalanche,/api/v1/teams/21,COL,Avalanche,Colorado,1979,Colorado,http://www.coloradoavalanche.com/,27,True,Ball Arena,/api/v1/venues/5064,Denver,"{'id': 'America/Denver', 'offset': -6, 'tz': 'MDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,27,Avalanche,/api/v1/franchises/27,5064.0
22,Edmonton Oilers,/api/v1/teams/22,EDM,Oilers,Edmonton,1979,Edmonton,http://www.edmontonoilers.com/,25,True,Rogers Place,/api/v1/venues/5100,Edmonton,"{'id': 'America/Edmonton', 'offset': -6, 'tz': 'MDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,25,Oilers,/api/v1/franchises/25,5100.0
23,Vancouver Canucks,/api/v1/teams/23,VAN,Canucks,Vancouver,1970,Vancouver,http://www.canucks.com/,20,True,Rogers Arena,/api/v1/venues/5073,Vancouver,"{'id': 'America/Vancouver', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,20,Canucks,/api/v1/franchises/20,5073.0
24,Anaheim Ducks,/api/v1/teams/24,ANA,Ducks,Anaheim,1993,Anaheim,http://www.anaheimducks.com/,32,True,Honda Center,/api/v1/venues/5046,Anaheim,"{'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,32,Ducks,/api/v1/franchises/32,5046.0
25,Dallas Stars,/api/v1/teams/25,DAL,Stars,Dallas,1967,Dallas,http://www.dallasstars.com/,15,True,American Airlines Center,/api/v1/venues/5019,Dallas,"{'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,15,Stars,/api/v1/franchises/15,5019.0
26,Los Angeles Kings,/api/v1/teams/26,LAK,Kings,Los Angeles,1967,Los Angeles,http://www.lakings.com/,14,True,Crypto.com Arena,/api/v1/venues/null,Los Angeles,"{'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,14,Kings,/api/v1/franchises/14,
28,San Jose Sharks,/api/v1/teams/28,SJS,Sharks,San Jose,1990,San Jose,http://www.sjsharks.com/,29,True,SAP Center at San Jose,/api/v1/venues/null,San Jose,"{'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,29,Sharks,/api/v1/franchises/29,
29,Columbus Blue Jackets,/api/v1/teams/29,CBJ,Blue Jackets,Columbus,1997,Columbus,http://www.bluejackets.com/,36,True,Nationwide Arena,/api/v1/venues/5059,Columbus,"{'id': 'America/New_York', 'offset': -4, 'tz': 'EDT'}",18,Metropolitan,Metro,/api/v1/divisions/18,M,6,Eastern,/api/v1/conferences/6,36,Blue Jackets,/api/v1/franchises/36,5059.0
30,Minnesota Wild,/api/v1/teams/30,MIN,Wild,Minnesota,1997,Minnesota,http://www.wild.com/,37,True,Xcel Energy Center,/api/v1/venues/5098,St. Paul,"{'id': 'America/Chicago', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,37,Wild,/api/v1/franchises/37,5098.0
52,Winnipeg Jets,/api/v1/teams/52,WPG,Jets,Winnipeg,2011,Winnipeg,http://winnipegjets.com/,35,True,Canada Life Centre,/api/v1/venues/5058,Winnipeg,"{'id': 'America/Winnipeg', 'offset': -5, 'tz': 'CDT'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,35,Jets,/api/v1/franchises/35,5058.0
53,Arizona Coyotes,/api/v1/teams/53,ARI,Coyotes,Arizona,1979,Arizona,http://www.arizonacoyotes.com/,28,True,Mullett Arena,/api/v1/venues/null,Tempe,"{'id': 'America/Phoenix', 'offset': -7, 'tz': 'MST'}",16,Central,CEN,/api/v1/divisions/16,C,5,Western,/api/v1/conferences/5,28,Coyotes,/api/v1/franchises/28,
54,Vegas Golden Knights,/api/v1/teams/54,VGK,Golden Knights,Vegas,2016,Vegas,http://www.vegasgoldenknights.com/,38,True,T-Mobile Arena,/api/v1/venues/5178,Las Vegas,"{'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,38,Golden Knights,/api/v1/franchises/38,5178.0
55,Seattle Kraken,/api/v1/teams/55,SEA,Kraken,Seattle,2021,Seattle,https://www.nhl.com/seattle,39,True,Climate Pledge Arena,/api/v1/venues/null,Seattle,"{'id': 'America/Los_Angeles', 'offset': -7, 'tz': 'PDT'}",15,Pacific,PAC,/api/v1/divisions/15,P,5,Western,/api/v1/conferences/5,39,Kraken,/api/v1/franchises/39,
