,team_id,name,abbreviation,location,inaugaration_year,url,venue,division_id,conference_id
0,1,New Jersey Devils,NJD,New Jersey,1982,http://www.newjerseydevils.com/,Prudential Center,18,6
1,2,New York Islanders,NYI,New York,1972,http://www.newyorkislanders.com/,UBS Arena,18,6
2,3,New York Rangers,NYR,New York,1926,http://www.newyorkrangers.com/,Madison Square Garden,18,6
3,4,Philadelphia Flyers,PHI,Philadelphia,1967,http://www.philadelphiaflyers.com/,Wells Fargo Center,18,6
4,5,Pittsburgh Penguins,PIT,Pittsburgh,1967,http://pittsburghpenguins.com/,PPG Paints Arena,18,6
5,6,Boston Bruins,BOS,Boston,1924,http://www.bostonbruins.com/,TD Garden,17,6
6,7,Buffalo Sabres,BUF,Buffalo,1970,http://www.sabres.com/,KeyBank Center,17,6
7,8,Montréal Canadiens,MTL,Montréal,1909,http://www.canadiens.com/,Bell Centre,17,6
8,9,Ottawa Senators,OTT,Ottawa,1990,http://www.ottawasenators.com/,Canadian Tire Centre,17,6
9,10,Toronto Maple Leafs,TOR,Toronto,1917,http://www.mapleleafs.com/,Scotiabank Arena,17,6
10,12,Carolina Hurricanes,CAR,Carolina,1979,http://www.carolinahurricanes.com/,PNC Arena,18,6
11,13,Florida Panthers,FLA,Florida,1993,http://www.floridapanthers.com/,Amerant Bank Arena,17,6
12,14,Tampa Bay Lightning,TBL,Tampa Bay,1991,http://www.tampabaylightning.com/,AMALIE Arena,17,6
13,15,Washington Capitals,WSH,Washington,1974,http://www.washingtoncapitals.com/,Capital One Arena,18,6
14,16,Chicago Blackhawks,CHI,Chicago,1926,http://www.chicagoblackhawks.com/,United Center,16,5
15,17,Detroit Red Wings,DET,Detroit,1926,http://www.detroitredwings.com/,Little Caesars Arena,17,6
16,18,Nashville Predators,NSH,Nashville,1997,http://www.nashvillepredators.com/,Bridgestone Arena,16,5
17,19,St. Louis Blues,STL,St. Louis,1967,http://www.stlouisblues.com/,Enterprise Center,16,5
18,20,Calgary Flames,CGY,Calgary,1980,http://www.calgaryflames.com/,Scotiabank Saddledome,15,5
19,21,Colorado Avalanche,COL,Colorado,1979,http://www.coloradoavalanche.com/,Ball Arena,16,5
20,22,Edmonton Oilers,EDM,Edmonton,1979,http://www.edmontonoilers.com/,Rogers Place,15,5
21,23,Vancouver Canucks,VAN,Vancouver,1970,http://www.canucks.com/,Rogers Arena,15,5
22,24,Anaheim Ducks,ANA,Anaheim,1993,http://www.anaheimducks.com/,Honda Center,15,5
23,25,Dallas Stars,DAL,Dallas,1967,http://www.dallasstars.com/,American Airlines Center,16,5
24,26,Los Angeles Kings,LAK,Los Angeles,1967,http://www.lakings.com/,Crypto.com Arena,15,5
25,28,San Jose Sharks,SJS,San Jose,1990,http://www.sjsharks.com/,SAP Center at San Jose,15,5
26,29,Columbus Blue Jackets,CBJ,Columbus,1997,http://www.bluejackets.com/,Nationwide Arena,18,6
27,30,Minnesota Wild,MIN,Minnesota,1997,http://www.wild.com/,Xcel Energy Center,16,5
28,52,Winnipeg Jets,WPG,Winnipeg,2011,http://winnipegjets.com/,Canada Life Centre,16,5
29,53,Arizona Coyotes,ARI,Arizona,1979,http://www.arizonacoyotes.com/,Mullett Arena,16,5
30,54,Vegas Golden Knights,VGK,Vegas,2016,http://www.vegasgoldenknights.com/,T-Mobile Arena,15,5
31,55,Seattle Kraken,SEA,Seattle,2021,https://www.nhl.com/seattle,Climate Pledge Arena,15,5
